0,8388607
1,8800216
2,9210834
3,9619471
4,10025143
5,10426872
6,14604154
7,4121162239
8,868876501
9,234750161
10,813563933
11,3223257113
12,3809607731
13,3481206840
14,1838547174
15,485163242
16,3457941703
17,1193458
18,836836660
19,2839871550
20,3804823619
21,3051946224
22,1454899443
23,3122528444
24,1242824886
25,3192913932
26,3051945993
27,1101857011
28,2223112438
29,11598787
30,11214643
31,490363
32,361210
33,5953522
34,6350341
35,16416003
36,16525817
37,10426872
38,10025143
39,161184
40,90794
41,6752070
42,7157742
43,16686419
44,16736820
45,9210834
46,8800216
47,40393
48,10104
49,7976997
50,4294901759
51,3632595199
52,8388607
53,7976997
54,10104
55,40393
56,9210834
57,1647626255
58,2639462655
59,938344702
60,122028141
61,1973420135
62,3590586370
63,4172742659
64,435683480
65,704184479
66,2097348860
67,3622961402
68,3771334746
69,490363
70,523484752
71,4223860907
72,2223112368
73,1101857016
74,5178426
75,3192931807
76,1242824713
77,3122528268
78,1454899382
79,3051946172
80,3804823795
81,2839871728
82,836829251
83,905052222
84,2456223762
85,485163029
86,1071513799
87,15363478
88,15126399
89,3391519
90,3066931
91,1904126
92,2173059
93,13710282
94,14022051
95,2456966
96,2173059
97,2456966
98,2755162
99,14604154
100,14873087
101,13710282
102,13385694
103,1904126
104,1650814
105,3391519
106,3728146
107,15363478
108,15583755
109,12701212
110,2839893688
111,1172242499
112,3804823625
113,3051946224
114,3122528499
115,4223860918
116,3192914096
117,2071658505
118,70909959
119,3771334735
120,2223112276
121,2097348856
122,523436282
123,671809707
124,2197422245
125,3590586373
126,3859087363
127,122028128
128,16616029
129,4172782931
130,3356426392
131,4294901906
132,1205338239
133,2345795718
134,3356426380
135,4172742802
136,435683480
137,15583755
138,15786697
139,12342968
140,1242872350
141,3192913932
142,4802015
143,5178426
144,16138669
145,16286850
146,11214643
147,10823691
148,490363
149,361210
150,5953522
151,704243205
152,2321350908
153,10426872
154,10025143
155,251396
156,161184
157,6752070
158,7157742
159,16686419
160,16736820
161,9619471
162,9210834
163,40393
164,10104
165,7976997
166,8388607
167,16767109
168,16777214
